IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.62.28,4,4,0.00,71.30,59.45
188.114.98.147,4,4,0.00,61.92,10.18
172.64.158.3,4,4,0.00,71.29,0.00
172.64.144.16,4,4,0.00,71.31,0.00
104.19.152.245,4,4,0.00,71.60,0.00
172.64.145.185,4,4,0.00,71.64,0.00
104.17.209.142,4,4,0.00,72.06,0.00
104.19.144.1,4,4,0.00,72.26,0.00
104.29.59.56,4,4,0.00,72.26,0.00
104.16.34.33,4,4,0.00,72.31,0.00
